date,Clovelly,Maroubra
2016-10-25,0.0,1.0
2016-10-27,0.0,1.0
2016-10-30,0.0,1.0
2016-11-01,0.0,1.0
2016-11-10,0.0,1.0
2016-11-26,0.0,1.0
2016-11-28,0.0,1.0
2016-11-29,0.0,1.0
2016-12-01,0.0,1.0
2016-12-02,1.0,0.0
2016-12-28,0.0,1.0
2016-12-29,0.0,1.0
2017-01-02,0.0,1.0
2017-01-04,0.5,1.0
2017-01-05,0.0,1.0
2017-01-10,0.0,1.0
2017-01-12,0.0,1.0
2017-01-14,0.0,1.0
2017-01-17,0.0,1.0
2017-01-19,1.0,0.0
2017-01-23,1.0,0.5
2017-01-24,0.0,1.0
2017-01-28,0.0,1.0
2017-01-30,1.0,0.5
2017-02-03,0.5,1.0
2017-02-06,1.0,0.0
2017-02-08,0.0,1.0
2017-02-09,0.0,1.0
2017-02-17,0.0,1.0
2017-02-23,0.0,1.0
2017-02-24,0.0,1.0
2017-03-01,0.0,1.0
2017-03-02,0.0,1.0
2017-03-03,0.0,1.0
2017-03-05,0.5,1.0
2017-03-09,0.0,1.0
2017-03-15,1.0,0.0
2017-03-16,1.0,0.0
2017-03-26,0.0,1.0
2017-04-08,1.0,0.5
2017-10-17,0.5,1.0
2017-10-20,0.0,1.0
2017-10-21,0.0,1.0
2017-11-09,0.0,1.0
2017-11-23,1.0,0.0
2017-11-24,0.0,1.0
2017-11-25,0.0,1.0
2018-01-01,0.0,1.0
2018-01-02,0.0,1.0
2018-01-03,0.0,1.0
2018-01-27,0.0,1.0
2018-01-31,1.0,0.5
2018-02-04,1.0,0.0
2018-02-07,0.0,1.0
2018-02-09,0.0,1.0
2018-02-10,0.5,1.0
2018-02-13,0.0,1.0
2018-02-15,0.0,1.0
2018-02-21,0.0,1.0
2018-02-22,1.0,0.0
2018-02-23,0.0,1.0
2018-03-14,0.0,1.0
2018-04-03,0.0,1.0
2018-10-16,0.0,1.0
2018-10-19,1.0,0.0
2018-10-23,0.0,1.0
2018-11-14,0.0,1.0
2018-11-18,1.0,0.0
2018-11-21,0.0,1.0
2018-12-05,0.0,1.0
2018-12-07,0.0,1.0
2018-12-09,0.0,1.0
2018-12-11,1.0,0.0
2018-12-12,0.0,1.0
2018-12-13,0.0,1.0
2018-12-15,1.0,0.0
2018-12-16,0.0,1.0
2018-12-17,0.0,1.0
2018-12-25,0.0,1.0
2018-12-27,0.0,1.0
2018-12-29,0.5,1.0
2018-12-30,0.0,1.0
2019-01-16,0.0,1.0
2019-01-17,0.0,1.0
2019-01-18,0.0,1.0
2019-01-19,1.0,0.0
2019-01-20,0.0,1.0
2019-01-26,1.0,0.5
2019-01-29,0.0,1.0
2019-02-05,0.0,1.0
2019-02-08,0.0,1.0
2019-02-19,0.0,1.0
2019-03-04,0.0,1.0
2019-03-05,0.0,1.0
2019-03-08,0.0,1.0
0,468.0,563.0
